SIMBOLO,FECHA,VENCIMIENTO,TIPO DE SERIE,CIERRE,APERTURA,MAXIMO,MINIMO,PRECIO PROMEDIO,VOLUMEN NOMINAL,MONTO NEGOCIADO,CANTIDAD DE OPERACIONES
ALUA,2024-01-18,48 hs.,Homogenea,"1020,5",1040,1061,"1000,5","1033,266",999008,1032240877,6456
BBAR,2024-01-18,48 hs.,Homogenea,"2145,2",2080,2200,2080,"2145,365",214802,460828744,2180
BMA,2024-01-18,48 hs.,Homogenea,"3594,8",3599,3650,"3453,3","3552,542",504820,1793394161,2582
BYMA,2024-01-18,48 hs.,Homogenea,1064,1080,1100,1063,"1074,213",408280,438579699,2059
CEPU,2024-01-18,48 hs.,Homogenea,"1139,2",1160,"1203,95",1130,"1158,889",867711,1005580466,3937
COME,2024-01-18,48 hs.,Homogenea,"87,45",91,92,"87,1","89,806",6957679,624839718,5814
CRES,2024-01-18,48 hs.,Homogenea,"1143,35","1134,25",1191,1105,"1135,283",644436,731617095,3638
EDN,2024-01-18,48 hs.,Homogenea,"1187,45",1110,1197,1110,"1174,637",574234,674516584,3792
YPFD,2024-01-18,48 hs.,Homogenea,"19622,45",19110,19700,19110,"19538,722",235974,4610630308,4960
VALO,2024-01-17,48 hs.,Homogenea,"263,5",254,"265,5",252,"260,885",310571,"81023218,5",2131
GGAL,2024-01-17,48 hs.,Homogenea,"2052,5",1884,"2059,75",1880,"2006,001",3715230,"7452782534,9",6790
LOMA,2024-01-17,48 hs.,Homogenea,"1675,3",1560,1678,1560,"1652,272",653224,"1079303400,3",1905
MIRG,2024-01-17,48 hs.,Homogenea,"16410,5",16297,17000,15662,"16671,055","23316,7","388713977,85",1586
PAMP,2024-01-17,48 hs.,Homogenea,2400,"2257,1",2450,"2257,1","2397,215",1163455,"2789051872,45",19244
SUPV,2024-01-17,48 hs.,Homogenea,"933,35",852,940,852,"909,451",778397,"707914135,3",3337
TECO2,2024-01-17,48 hs.,Homogenea,"1723,85","1627,05",1732,"1627,05","1691,986",100983,"170861829,2",1399
TGNO4,2024-01-17,48 hs.,Homogenea,2300,2250,2340,2230,"2305,107",164274,"378669160,5",1835
TGSU2,2024-01-17,48 hs.,Homogenea,"3647,45",3543,3660,3425,"3577,63",262608,"939514291,95",2720
TRAN,2024-01-17,48 hs.,Homogenea,1395,1362,1415,1362,"1397,188",380860,532133010,1738
TXAR,2024-01-17,48 hs.,Homogenea,971,927,980,926,"959,793",2252340,"2161781183,5",5446
ALUA,2024-01-17,48 hs.,Homogenea,"1040,5",1001,1048,1001,"1034,657",1251548,1295019080,6772
BBAR,2024-01-17,48 hs.,Homogenea,"2082,45",1910,"2103,15",1887,"2022,997",200767,"406150975,2",1989
BMA,2024-01-17,48 hs.,Homogenea,"3503,65",3070,"3520,15","3020,5","3385,369",295886,"1001683351,55",3118
BYMA,2024-01-17,48 hs.,Homogenea,1063,1049,1094,1040,"1065,53",365254,"389189143,5",2680
CEPU,2024-01-17,48 hs.,Homogenea,"1153,6",1116,1175,1116,"1147,363",1072554,"1230609200,65",3840
COME,2024-01-17,48 hs.,Homogenea,"90,35","88,5","91,7",88,"90,731",3534277,"320672181,5",5529
CRES,2024-01-17,48 hs.,Homogenea,"1134,25","1093,55",1145,"1080,05","1124,655",557685,"627202977,85",3367
EDN,2024-01-17,48 hs.,Homogenea,"1107,55",1054,"1110,5","1041,5","1085,614",367666,"399143534,4",2773
YPFD,2024-01-17,48 hs.,Homogenea,"19106,25",18086,"19129,95",18020,"18802,707",212914,"4003359661,55",5801
VALO,2024-01-16,48 hs.,Homogenea,254,250,"256,5","248,5","251,475",605296,"152216583,75",1665
GGAL,2024-01-16,48 hs.,Homogenea,"1882,1",1850,1912,1828,"1882,996",1520379,2860642561,3277
LOMA,2024-01-16,48 hs.,Homogenea,"1555,15",1512,1579,1500,"1529,622",382068,"584419699,1",1633
MIRG,2024-01-16,48 hs.,Homogenea,"16223,5",14800,16400,14101,"15202,92","17908,7","272264527,15",1653
PAMP,2024-01-16,48 hs.,Homogenea,"2261,05",2242,2295,2164,"2247,737",727648,"1635561041,5",5598
SUPV,2024-01-16,48 hs.,Homogenea,"848,45",810,855,"805,5","842,761",315037,"265501041,85",1540
TECO2,2024-01-16,48 hs.,Homogenea,"1627,05",1551,1638,1520,"1600,433",143945,"230374298,65",1323
TGNO4,2024-01-16,48 hs.,Homogenea,"2216,5",2200,2230,2156,"2210,65",238475,527184752,2146
TGSU2,2024-01-16,48 hs.,Homogenea,"3413,95",3400,"3504,5",3360,"3434,343",190936,"655739778,15",2050
TRAN,2024-01-16,48 hs.,Homogenea,1359,1300,1370,1300,"1343,501",727589,"977516644,5",2698
TXAR,2024-01-16,48 hs.,Homogenea,920,890,"928,5",881,"904,288",1631070,1474956726,5012
ALUA,2024-01-16,48 hs.,Homogenea,"998,5",969,1007,960,"985,426",1510522,1488507048,6357
BBAR,2024-01-16,48 hs.,Homogenea,"1908,9",1893,1940,1853,"1902,624",124948,"237729087,7",1373
BMA,2024-01-16,48 hs.,Homogenea,"3063,5",2972,3125,2950,"3074,695",107968,"331968703,3",1295
BYMA,2024-01-16,48 hs.,Homogenea,1048,1035,1070,1005,"1048,298",401381,"420766769,5",2232
CEPU,2024-01-16,48 hs.,Homogenea,"1109,7",1080,1120,"1046,05","1099,022",1004017,"1103436344,05",3871
COME,2024-01-16,48 hs.,Homogenea,"88,5","86,4","88,7","84,8","87,686",1816555,"159381242,45",4225
CRES,2024-01-16,48 hs.,Homogenea,"1093,55",1099,1111,1045,"1086,008",847008,"919857300,75",4597
EDN,2024-01-16,48 hs.,Homogenea,"1055,45",1083,1094,1044,"1068,611",177179,"189335397,15",1984
YPFD,2024-01-16,48 hs.,Homogenea,"18086,85",18700,18700,18000,"18317,113",170953,"3131365435,75",5547
VALO,2024-01-15,48 hs.,Homogenea,"249,25","252,5",258,247,"251,234",568097,"142725297,75",1682
GGAL,2024-01-15,48 hs.,Homogenea,"1846,8","1840,1",1868,1830,"1851,967",862479,"1594919533,85",3214
LOMA,2024-01-15,48 hs.,Homogenea,"1512,35","1514,45",1560,1483,"1508,441",63238,"95390787,85",1040
MIRG,2024-01-15,48 hs.,Homogenea,"14417,5","14644,5",14900,14200,"14411,577","7676,5","110630473,25",974
PAMP,2024-01-15,48 hs.,Homogenea,"2241,35",2180,"2245,5",2135,"2185,976",514667,"1125049910,35",4928
SUPV,2024-01-15,48 hs.,Homogenea,"817,15",840,848,805,"831,405",127330,"105862737,45",1309
TECO2,2024-01-15,48 hs.,Homogenea,"1548,85",1500,1550,1500,"1538,688",38027,"58511691,4",819
TGNO4,2024-01-15,48 hs.,Homogenea,2144,2135,2163,2085,"2126,21",114203,242819595,1820
TGSU2,2024-01-15,48 hs.,Homogenea,"3397,2",3325,3440,3250,"3374,019",78785,"265822115,95",1745
TRAN,2024-01-15,48 hs.,Homogenea,1285,1263,1295,1222,"1285,253",151059,"194149010,5",1252
TXAR,2024-01-15,48 hs.,Homogenea,881,900,"912,5",879,"888,937",814024,723639606,3184
ALUA,2024-01-15,48 hs.,Homogenea,"967,5",959,974,"950,5","966,648",709781,686113097,4980
BBAR,2024-01-15,48 hs.,Homogenea,"1893,8",1949,1949,1875,"1898,932",76625,"145505643,15",1268
BMA,2024-01-15,48 hs.,Homogenea,"3037,45",3040,"3110,5",2939,"3059,625",75059,"229652395,15",1552
BYMA,2024-01-15,48 hs.,Homogenea,1023,1050,1065,1015,"1031,943",146230,150901052,1740
CEPU,2024-01-15,48 hs.,Homogenea,"1066,7",1075,1084,1035,"1061,445",769427,"816704131,6",3156
COME,2024-01-15,48 hs.,Homogenea,"86,35","87,4",90,"85,55","86,527",2018370,"174700280,85",4043
CRES,2024-01-15,48 hs.,Homogenea,"1098,9","1055,5",1100,1050,"1083,687",369852,"400803982,1",3174
EDN,2024-01-15,48 hs.,Homogenea,"1062,65",1079,1079,1040,"1057,376",131873,"139439391,5",1843
YPFD,2024-01-15,48 hs.,Homogenea,18361,18234,18759,17825,"18450,447",63349,"1168817375,95",3789
TRAN,2024-01-12,48 hs.,Homogenea,1251,1270,"1289,5",1225,"1248,965",182902,228438231,1180
TGSU2,2024-01-12,48 hs.,Homogenea,"3315,65",3241,3340,3165,"3246,592",170307,552917346,1637
LOMA,2024-01-12,48 hs.,Homogenea,"1514,45",1542,"1599,95","1490,5","1511,369",188062,284230975,1221
